"","Microsoft Corporation","Alphabet, Inc.","International Business Machines (IBM)","Oracle Corporation","SAP SE","Accenture","Tata Consultancy Services","Salesforce.com, Inc.","Adobe, Inc.","VMware, Inc","Infosys Limited","Capgemini SE","Atos SE","Intuit Inc.","Wipro","HCL Technologies","Synopsys, Inc.","Tech Mahindra","ServiceNow Inc","Autodesk, Inc.","Shopify Inc","Nomura Research Institute, Ltd.","Apple Inc.","Samsung Electronics","Cisco Systems, Inc.","Hon Hai Precision Industry","HP Inc","Dell Technologies","Hewlett Packard Enterprise Company","TE Connectivity","Fujitsu Limited","Murata Mfg. Co.","Corning Incorporated","Western Digital Corp","BOE Technology Group Co.,Ltd.","Nokia Group","Kyocera Corporation","Lenovo Group","Ericsson","Amphenol Corporation","Seagate Technology PLC","TDK Corporation","Samsung SDI","NEC Corporation","NetApp Inc.","Hoya Corporation"
"Purchased goods and services"," 11,000,000 "," 7,566,398 "," 329,409 "," 1,355,224 "," 713,864 "," 453,828 "," 40,686 "," 406,579 "," 359,426 "," 204,427 "," -   "," 179,665 "," 3,282,923 "," 3,480 "," 82,246 "," -   "," -   "," 498 "," -   "," 104,637 "," -   "," 84,470 "," 18,500,000 "," 7,900,000 "," 1,154,682 "," -   "," 18,600,000 "," 3,686,746 "," 2,272,300 "," -   "," 1,840,000 "," 3,379,889 "," -   "," -   "," 1,655 "," 5,284,000 "," 3,645,685 "," 1,795,000 "," -   "," -   "," 1,200,000 "," 7,964,779 "," 4,131 "," 435,000 "," 17,855 "," -   "
"Capital goods"," 500,000 "," 2,422,000 "," -   "," 136,405 "," 403,231 "," -   "," 71,691 "," 145,178 "," 86,240 "," 49,050 "," 187,469 "," -   "," 787,701 "," -   "," 15,915 "," -   "," -   "," -   "," -   "," 23,213 "," -   "," 12,803 "," -   "," 6,000 "," 40,020 "," -   "," 200,000 "," -   "," 90,083 "," -   "," 6,200 "," 712,289 "," -   "," -   "," -   "," 398,200 "," 211,678 "," 127,500 "," -   "," -   "," 200,000 "," 626,937 "," -   "," 335,000 "," -   "," -   "
"Fuel-and-energy-related activities (not included in Scope 1 or 2)"," 550,000 "," -   "," 39,017 "," 21,747 "," 79,712 "," -   "," 171,198 "," 67,890 "," 14,805 "," 18,841 "," 21,928 "," 22,374 "," 91,073 "," -   "," 76,659 "," -   "," 6,017 "," -   "," -   "," 3,849 "," -   "," 5,716 "," -   "," 670,000 "," 40,002 "," -   "," 100,000 "," 140,026 "," 93,746 "," -   "," 71,100 "," 95,300 "," -   "," -   "," 3,057 "," -   "," 161,453 "," 12,100 "," -   "," -   "," 190,000 "," 701,930 "," 788,494 "," 159,000 "," -   "," -   "
"Upstream transportation and distribution"," 100,000 "," 237,500 "," -   "," 9,468 "," -   "," -   "," 3,350 "," 4,032 "," -   "," 3,408 "," -   "," -   "," 18,356 "," -   "," -   "," -   "," 524 "," -   "," -   "," 7,942 "," -   "," -   "," 400,000 "," 11,000 "," 36,598 "," -   "," 1,800,000 "," -   "," 318,186 "," -   "," 69,000 "," 162,682 "," -   "," -   "," -   "," 384,300 "," 45,927 "," 633,000 "," -   "," -   "," 90,000 "," 277,621 "," 562 "," 80,000 "," -   "," -   "
"Waste generated in operations"," 600 "," -   "," -   "," 762 "," 1,909 "," -   "," 3,145 "," 304 "," 87 "," 307 "," 173 "," 400 "," 3,475 "," -   "," 760 "," -   "," 484 "," 18 "," -   "," 684 "," -   "," -   "," -   "," 370,000 "," 1,096 "," -   "," -   "," -   "," 1,290 "," -   "," 4,900 "," 41,897 "," -   "," -   "," -   "," -   "," 17,423 "," 1,920 "," -   "," -   "," 5,700 "," 8,971 "," 12,651 "," 8,000 "," -   "," -   "
"Business travel"," 378,230 "," 313,000 "," 458,090 "," 192,845 "," 317,166 "," 494,928 "," 138,662 "," 129,000 "," 40,498 "," 58,081 "," 75,869 "," 315,428 "," 37,005 "," 8,117 "," 117,819 "," 35,443 "," 18,536 "," 19,707 "," 26,222 "," 92,937 "," 5,962 "," 8,442 "," 337,300 "," 110,000 "," 217,500 "," -   "," 70,000 "," 165,854 "," 68,553 "," 23,520 "," 93,000 "," 10,084 "," -   "," 18,131 "," 28,247 "," 81,500 "," 9,993 "," 53,500 "," 110,000 "," -   "," 17,000 "," 52,248 "," 4,385 "," 51,000 "," 47,759 "," -   "
"Employee commuting"," 330,000 "," 150,467 "," 122,800 "," 70 "," 47,620 "," -   "," 280,026 "," 26,000 "," 10,603 "," 42,653 "," 57,762 "," 225,687 "," 107,383 "," 15,932 "," 79,160 "," 21,235 "," 19,971 "," 18,965 "," -   "," 13,090 "," -   "," 2,827 "," 183,200 "," 8,700 "," 81,394 "," -   "," 200,000 "," -   "," 247,936 "," -   "," 68,000 "," 34,730 "," -   "," -   "," 659 "," 118,400 "," 27,668 "," 23,600 "," 61,000 "," -   "," 25,000 "," 8,444 "," -   "," 16,000 "," -   "," -   "
"Upstream leased assets"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," 127,090 "," 2,384 "," 1,356 "," 3,959 "," -   "," -   "," -   "," 24,302 "," -   "," -   "," -   "," -   "," 21 "," -   "," -   "," -   "," 10,000 "," -   "," -   "," -   "," -   "," -   "," -   "," 281,000 "," -   "," -   "," -   "," -   "," -   "," 110 "," -   "," -   "," -   "," 2,500 "," -   "," -   "," -   "," -   "," -   "
"Other (upstream)"," -   "," - "," -   "," -   "," 56,368 "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," 3,080,000 "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "
"Downstream transportation and distribution"," 100,000 "," 237,500 "," -   "," 37,874 "," 10,937 "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," 930 "," -   "," -   "," -   "," -   "," -   "," 7 "," -   "," -   "," 900,000 "," 7,800,000 "," 83,396 "," -   "," 900,000 "," -   "," 323,853 "," -   "," 550 "," -   "," -   "," -   "," 269 "," -   "," 28 "," -   "," -   "," -   "," 8,000 "," -   "," -   "," 1,000 "," -   "," -   "
